SOI_CD,SOI_NM,ITT_CD,ITT_NM,SOI_NM2, SOI_CD2,,,,
33,리스,383,씨엑스씨캐피탈,제2금융권,2,,,,
33,리스,385,ＮＨ농협캐피탈　　　　　　　　,제2금융권,2,,,,
33,리스,386,무림캐피탈,제2금융권,2,,,,
33,리스,387,디지비캐피탈,제2금융권,2,,,,
33,리스,388,에코캐피탈,제2금융권,2,,,,
35,신기술사,582,아주아이비투자,제2금융권,2,,,,
35,신기술사,583,큐캐피탈파트너스,제2금융권,2,,,,
35,신기술사,585,미래에셋캐피탈,제2금융권,2,,,,
35,신기술사,586,포스코기술투자（주）,제2금융권,2,,,,
35,신기술사,587,우리기술투자,제2금융권,2,,,,
35,신기술사,588,농심캐피탈,제2금융권,2,,,,
35,신기술사,589,에이스투자금융,제2금융권,2,,,,
35,신기술사,1018,엔베스터,제2금융권,2,,,,
35,신기술사,1031,한빛인베스트먼트,제2금융권,2,,,,
35,신기술사,1175,이앤인베스트먼트,제2금융권,2,,,,
35,신기술사,1215,메가인베스트먼트,제2금융권,2,,,,
35,신기술사,1221,중동파이넨스,제2금융권,2,,,,
35,신기술사,1224,한국투자캐피탈,제2금융권,2,,,,
35,신기술사,1225,제이엠캐피탈,제2금융권,2,,,,
35,신기술사,1230,티그리스인베스트먼트,제2금융권,2,,,,
35,신기술사,1237,하나벤처스,제2금융권,2,,,,
35,신기술사,1238,코너스톤투자파트너스,제2금융권,2,,,,
35,신기술사,1240,리딩에이스캐피탈,제2금융권,2,,,,
35,신기술사,1241,유일기술투자,제2금융권,2,,,,
35,신기술사,1243,리더스기술투자,제2금융권,2,,,,
35,신기술사,1246,에스비아이캐피탈,제2금융권,2,,,,
35,신기술사,1247,엔에이치벤처투자,제2금융권,2,,,,
37,할부금융,941,현대캐피탈,제2금융권,2,,,,
37,할부금융,943,우리금융캐피탈,제2금융권,2,,,,
37,할부금융,946,삼성카드,제2금융권,2,,,,
37,할부금융,951,롯데캐피탈,제2금융권,2,,,,
37,할부금융,953,ＩＢＫ캐피탈,제2금융권,2,,,,
37,할부금융,955,하나캐피탈,제2금융권,2,,,,
37,할부금융,957,ＪＢ우리캐피탈　　　　　　　　,제2금융권,2,,,,
37,할부금융,958,코스모캐피탈,제2금융권,2,,,,
37,할부금융,960,DB캐피탈,제2금융권,2,,,,
37,할부금융,965,두산캐피탈,제2금융권,2,,,,
37,할부금융,969,하이델베르그코리아,제2금융권,2,,,,
37,할부금융,976,메르세데스벤츠파이낸셜서비스코리아,제2금융권,2,,,,
37,할부금융,977,효성캐피탈,제2금융권,2,,,,
37,할부금융,978,알씨아이파이낸셜서비스코리아　,제2금융권,2,,,,
37,할부금융,979,데라게란덴,제2금융권,2,,,,
37,할부금융,980,애큐온캐피탈,제2금융권,2,,,,
37,할부금융,992,현대커머셜,제2금융권,2,,,,
37,할부금융,995,나우아이비캐피탈,제2금융권,2,,,,
37,할부금융,996,제이티캐피탈　　　　　　　　　,제2금융권,2,,,,
37,할부금융,997,에이제이캐피탈파트너스,제2금융권,2,,,,
37,할부금융,998,비엔케이캐피탈（주）　　　　　,제2금융권,2,,,,
37,할부금융,999,HB캐피탈,제2금융권,2,,,,
37,할부금융,1000,폭스바겐파이낸셜서비스코리아,제2금융권,2,,,,
37,할부금융,1213,한국자산캐피탈　　　　　　　　,제2금융권,2,,,,
37,할부금융,1214,메리츠캐피탈,제2금융권,2,,,,
37,할부금융,1217,롯데오토리스　　　　　　　　　,제2금융권,2,,,,
37,할부금융,1219,도이치파이낸셜,제2금융권,2,,,,
37,할부금융,1222,포르쉐파이낸셜서비스,제2금융권,2,,,,
37,할부금융,1227,에스와이오토캐피탈,제2금융권,2,,,,
37,할부금융,1228,엠파크캐피탈,제2금융권,2,,,,
37,할부금융,1229,웰릭스캐피탈,제2금융권,2,,,,
37,할부금융,1231,홈앤캐피탈,제2금융권,2,,,,
37,할부금융,1233,키움캐피탈,제2금융권,2,,,,
37,할부금융,1234,케이카캐피탈,제2금융권,2,,,,
37,할부금융,1239,볼보파이낸셜서비스코리아,제2금융권,2,,,,
41,상호저축,614,한국저축은행,제2금융권,2,,,,
41,상호저축,615,오에스비저축은행,제2금융권,2,,,,
41,상호저축,616,애큐온저축은행,제2금융권,2,,,,
41,상호저축,619,디비저축은행,제2금융권,2,,,,
41,상호저축,621,솔로몬저축은행,제2금융권,2,,,,
41,상호저축,622,스카이저축은행,제2금융권,2,,,,
41,상호저축,624,민국저축은행,제2금융권,2,,,,
41,상호저축,628,푸른저축은행,제2금융권,2,,,,
41,상호저축,629,삼보저축은행,제2금융권,2,,,,
41,상호저축,630,키움예스저축은행,제2금융권,2,,,,
41,상호저축,634,더케이저축은행,제2금융권,2,,,,
41,상호저축,635,서울저축은행,제2금융권,2,,,,
41,상호저축,636,조은저축은행,제2금융권,2,,,,
41,상호저축,641,더블유저축은행,제2금융권,2,,,,
41,상호저축,644,제일저축은행,제2금융권,2,,,,
41,상호저축,645,바로저축은행,제2금융권,2,,,,
41,상호저축,647,중앙저축은행,제2금융권,2,,,,
41,상호저축,648,진흥저축은행,제2금융권,2,,,,
41,상호저축,650,제일２저축은행,제2금융권,2,,,,
41,상호저축,652,유안타저축은행,제2금융권,2,,,,
41,상호저축,655,SBI저축은행,제2금융권,2,,,,
41,상호저축,656,유진저축은행,제2금융권,2,,,,
41,상호저축,657,고려저축은행,제2금융권,2,,,,
41,상호저축,658,국제저축은행,제2금융권,2,,,,
41,상호저축,659,해솔저축은행,제2금융권,2,,,,
41,상호저축,666,영남상호저축은행,제2금융권,2,,,,
41,상호저축,667,부산저축은행,제2금융권,2,,,,
41,상호저축,676,우리저축은행,제2금융권,2,,,,
41,상호저축,681,디에이치저축은행,제2금융권,2,,,,
41,상호저축,682,부산２저축은행,제2금융권,2,,,,
41,상호저축,683,흥국저축은행,제2금융권,2,,,,
41,상호저축,684,토마토２저축은행,제2금융권,2,,,,
41,상호저축,690,대백저축은행,제2금융권,2,,,,
41,상호저축,691,유니온저축은행,제2금융권,2,,,,
41,상호저축,692,엠에스저축은행,제2금융권,2,,,,
41,상호저축,699,인성저축은행,제2금융권,2,,,,
41,상호저축,701,금화저축은행,제2금융권,2,,,,
